subject,l2_mean_sct_discs,l2_std_sct_discs,z_mean_sct_discs,z_std_sct_discs,TPR_sct_discs,FPR_sct_discs,TNR_sct_discs,FNR_sct_discs,ACC_sct_discs,DSC_sct_discs,tot_discs,tot_pred_sct_discs,MSE_sct_discs,l2_mean_spinenet,l2_std_spinenet,z_mean_spinenet,z_std_spinenet,TPR_spinenet,FPR_spinenet,TNR_spinenet,FNR_spinenet,ACC_spinenet,DSC_spinenet,tot_pred_spinenet,MSE_spinenet,l2_mean_nnunet_coords_101,l2_std_nnunet_coords_101,z_mean_nnunet_coords_101,z_std_nnunet_coords_101,TPR_nnunet_coords_101,FPR_nnunet_coords_101,TNR_nnunet_coords_101,FNR_nnunet_coords_101,ACC_nnunet_coords_101,DSC_nnunet_coords_101,tot_pred_nnunet_coords_101,MSE_nnunet_coords_101,l2_mean_nnunet_coords_102,l2_std_nnunet_coords_102,z_mean_nnunet_coords_102,z_std_nnunet_coords_102,TPR_nnunet_coords_102,FPR_nnunet_coords_102,TNR_nnunet_coords_102,FNR_nnunet_coords_102,ACC_nnunet_coords_102,DSC_nnunet_coords_102,tot_pred_nnunet_coords_102,MSE_nnunet_coords_102,l2_mean_nnunet_coords_200,l2_std_nnunet_coords_200,z_mean_nnunet_coords_200,z_std_nnunet_coords_200,TPR_nnunet_coords_200,FPR_nnunet_coords_200,TNR_nnunet_coords_200,FNR_nnunet_coords_200,ACC_nnunet_coords_200,DSC_nnunet_coords_200,tot_pred_nnunet_coords_200,MSE_nnunet_coords_200,l2_mean_nnunet_coords_201,l2_std_nnunet_coords_201,z_mean_nnunet_coords_201,z_std_nnunet_coords_201,TPR_nnunet_coords_201,FPR_nnunet_coords_201,TNR_nnunet_coords_201,FNR_nnunet_coords_201,ACC_nnunet_coords_201,DSC_nnunet_coords_201,tot_pred_nnunet_coords_201,MSE_nnunet_coords_201,l2_mean_hourglass_t1,l2_std_hourglass_t1,z_mean_hourglass_t1,z_std_hourglass_t1,TPR_hourglass_t1,FPR_hourglass_t1,TNR_hourglass_t1,FNR_hourglass_t1,ACC_hourglass_t1,DSC_hourglass_t1,tot_pred_hourglass_t1,MSE_hourglass_t1,l2_mean_hourglass_t2,l2_std_hourglass_t2,z_mean_hourglass_t2,z_std_hourglass_t2,TPR_hourglass_t2,FPR_hourglass_t2,TNR_hourglass_t2,FNR_hourglass_t2,ACC_hourglass_t2,DSC_hourglass_t2,tot_pred_hourglass_t2,MSE_hourglass_t2,l2_mean_hourglass_t1_t2,l2_std_hourglass_t1_t2,z_mean_hourglass_t1_t2,z_std_hourglass_t1_t2,TPR_hourglass_t1_t2,FPR_hourglass_t1_t2,TNR_hourglass_t1_t2,FNR_hourglass_t1_t2,ACC_hourglass_t1_t2,DSC_hourglass_t1_t2,tot_pred_hourglass_t1_t2,MSE_hourglass_t1_t2
sub-amuPAM50001,39.06970636569077,4.06915771366778,36.0,2.5,0.8,1.0,0.0,0.2,0.6666666666666666,0.8,10,10,1543.0,0,0,0,0,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0,nan,1.2491822985688092,0.5730902841884816,1.1111111111111112,0.5665577237325317,0.9,0.0,1.0,0.1,0.9166666666666666,0.9473684210526315,9,1.8888888888888888,1.2478708664619074,0.5855068749686961,1.1,0.5385164807134504,1.0,0.0,1.0,0.0,1.0,1.0,10,1.9,1.4142135623730951,0.0,1.0,0.0,0.1,0.0,1.0,0.9,0.25,0.18181818181818182,1,2.0000000000000004,58.53564100042219,6.949317835872685,53.714285714285715,4.266624149448022,0.7,1.0,0.0,0.3,0.5833333333333334,0.7368421052631579,9,3474.714285714286,0,0,0,0,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0,nan
sub-amuPAM50008,19.087487041027853,2.9816204790039906,18.22222222222222,2.4393887111222385,0.9,0.6666666666666666,0.3333333333333333,0.1,0.7692307692307693,0.8571428571428571,10,11,373.22222222222223,1.4576491222541477,0.9355527972229647,1.4,0.9165151389911681,1.0,0.0,1.0,0.0,1.0,1.0,10,3.0,0.6015792847081216,0.7259416320193749,0.5555555555555556,0.6849348892187752,0.9,0.0,1.0,0.1,0.9230769230769231,0.9473684210526315,9,0.8888888888888888,0.7650281539872885,0.845418194508967,0.7,0.7810249675906655,1.0,0.0,1.0,0.0,1.0,1.0,10,1.3000000000000003,1.0,0.0,1.0,0.0,0.1,0.0,1.0,0.9,0.3076923076923077,0.18181818181818182,1,1.0,13.509873181590473,7.57444489756387,13.0,7.211102550927978,0.9,1.0,0.0,0.1,0.6923076923076923,0.8181818181818182,12,239.88888888888883,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan
sub-amuPAM50024,1.3738768882709855,0.9552289232821809,1.1,1.044030650891055,1.0,0.0,1.0,0.0,1.0,1.0,10,10,2.8000000000000003,1.006449510224598,0.7661980053280397,0.9,0.7000000000000001,1.0,0.0,1.0,0.0,1.0,1.0,10,1.6,1.16357066166662,0.8038055208249718,1.1111111111111112,0.7370277311900889,0.9,0.0,1.0,0.1,0.9473684210526315,0.9473684210526315,9,2.0,1.1886349517372676,0.7662551477859995,1.1,0.7,1.0,0.0,1.0,0.0,1.0,1.0,10,2.0,2.0,0.0,2.0,0.0,0.1,0.0,1.0,0.9,0.5263157894736842,0.18181818181818182,1,4.0,28.711310660864644,20.196797769332647,26.25,17.88679680658334,0.8,0.5555555555555556,0.4444444444444444,0.2,0.631578947368421,0.6956521739130435,13,1232.25,0,0,0,0,0.0,0.0,1.0,1.0,0.47368421052631576,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.47368421052631576,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.47368421052631576,0.0,0,nan
sub-bwh001_acq-sagstir,3.973597502050374,4.382981050803098,3.727272727272727,4.308362040390104,1.0,1,0,0.0,1.0,1.0,11,11,35.0,1.6342448813888188,1.372879901233171,1.3333333333333333,1.4142135623730951,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,4.555555555555555,1.2103246918880188,0.5593674266382965,1.0,0.4714045207910317,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,1.7777777777777781,0.6476030138606877,0.5986552548974506,0.5555555555555556,0.4969039949999533,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,0.7777777777777779,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,25.603110027996173,4.537826352498858,23.666666666666668,4.268749491621899,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,676.1111111111111,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-bwh012_acq-sagstir,3.5469802075244314,2.76928355489826,3.25,2.9047375096555625,1.0,0.0,1.0,0.0,1.0,1.0,8,8,20.25,27.308580768975617,2.2341477982298206,26.25,1.479019945774904,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5454545454545454,0.6153846153846154,5,750.75,1.5205176042696102,1.2992406301783384,1.5,1.2583057392117916,0.75,0.0,1.0,0.25,0.8181818181818182,0.8571428571428571,6,4.0,2.360379610028063,1.8961209780049464,2.3333333333333335,1.8856180831641267,0.75,0.0,1.0,0.25,0.8181818181818182,0.8571428571428571,6,9.166666666666666,0.0,0.0,0.0,0.0,0.125,0.0,1.0,0.875,0.36363636363636365,0.2222222222222222,1,0.0,19.489078877913194,12.090318626507646,19.0,11.710800875382398,0.875,0.0,1.0,0.125,0.9090909090909091,0.9333333333333333,7,526.0,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan
sub-bwh041_acq-sagstir,4.5684686067157845,5.601704614619761,4.5,5.612486080160912,1.0,0.0,1.0,0.0,1.0,1.0,8,8,52.24999999999999,1.9417135899788143,1.5480358526721054,1.8333333333333333,1.5723301886761007,0.75,0.0,1.0,0.25,0.8181818181818182,0.8571428571428571,6,6.166666666666667,2.126253206797603,1.3462468696031356,2.0,1.2909944487358056,0.75,0.0,1.0,0.25,0.8181818181818182,0.8571428571428571,6,6.333333333333333,1.9079434909924033,1.6410621464506014,1.8333333333333333,1.5723301886761005,0.75,0.0,1.0,0.25,0.8181818181818182,0.8571428571428571,6,6.333333333333333,1.0,0.0,1.0,0.0,0.125,0.0,1.0,0.875,0.36363636363636365,0.2222222222222222,1,1.0,35.30701168189134,19.580983787715788,34.833333333333336,19.082423559099848,0.75,1.0,0.0,0.25,0.5454545454545454,0.7058823529411765,9,1630.0,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.2727272727272727,0.0,0,nan
sub-bwh048_acq-sagstir,4.891050296046105,8.196195885991703,4.8,8.19512049941915,1.0,0.0,1.0,0.0,1.0,1.0,10,10,91.10000000000001,1.801776695296637,1.2761664234283592,1.625,1.4086784586980805,0.8,0.0,1.0,0.2,0.8666666666666667,0.8888888888888888,8,4.875,3.652633832362956,4.028609519189726,3.4285714285714284,3.9948947011741605,0.7,0.0,1.0,0.3,0.8,0.8235294117647058,7,29.571428571428573,1.4470614028176843,0.8837495666054471,1.375,0.8569568250501305,0.8,0.0,1.0,0.2,0.8666666666666667,0.8888888888888888,8,2.875,1.0,0.0,1.0,0.0,0.1,0.0,1.0,0.9,0.4,0.18181818181818182,1,1.0,53.57130530974207,37.780487654481135,51.625,35.110317215883995,0.8,0.6,0.4,0.2,0.6666666666666666,0.7619047619047619,11,4297.25,0,0,0,0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0,nan
sub-bwh059_acq-sagstir,5.390545518834483,4.333053466402971,4.916666666666667,4.192420409368422,1.0,1,0,0.0,1.0,1.0,12,12,47.833333333333336,2.26158231849971,1.544423975678142,1.7,1.676305461424021,0.8333333333333334,1,0,0.16666666666666666,0.8333333333333334,0.9090909090909091,10,7.500000000000002,2.0694795681445637,1.4702716624748755,1.7777777777777777,1.1331154474650633,0.75,1,0,0.25,0.75,0.8571428571428571,9,6.444444444444445,2.096403674783624,1.6748407782095933,1.8,1.4000000000000001,0.8333333333333334,1,0,0.16666666666666666,0.8333333333333334,0.9090909090909091,10,7.2,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,34.03148819078343,10.213342106045094,30.545454545454547,8.172722216602745,0.9166666666666666,1,0,0.08333333333333333,0.9166666666666666,0.9565217391304348,11,1262.4545454545455,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-bwh068_acq-sagstir,19.606123973728632,14.926483267226192,17.9,12.995768542106312,0.9090909090909091,1,0,0.09090909090909091,0.9090909090909091,0.9523809523809523,11,10,607.2,1.956881952172096,1.6171139321975958,1.7777777777777777,1.547598697464902,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,6.444444444444445,2.1094422371050197,1.4511405872185252,2.0,1.4142135623730951,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,6.555555555555555,2.0634185079524534,1.552085927938894,2.0,1.4907119849998598,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,6.666666666666667,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,32.0427471547375,5.316235019030112,30.444444444444443,4.833014037984788,0.8181818181818182,1,0,0.18181818181818182,0.8181818181818182,0.9,9,1055.0,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan,0,0,0,0,0.0,1,0,1.0,0.0,0.0,0,nan
sub-bwh073_acq-sagstir,4.801183518289721,5.598985338764795,4.6,5.6956123463592565,1.0,0.0,1.0,0.0,1.0,1.0,10,10,54.4,2.1950779122295687,1.9187581815439587,1.875,2.027159342528357,0.8,0.0,1.0,0.2,0.8461538461538461,0.8888888888888888,8,8.5,2.2750991070101536,1.036303070188254,2.125,0.9270248108869579,0.8,0.0,1.0,0.2,0.8461538461538461,0.8888888888888888,8,6.25,1.4716733956863182,1.1550659792536102,1.375,1.1110243021644486,0.8,0.0,1.0,0.2,0.8461538461538461,0.8888888888888888,8,3.5,1.0,0.0,1.0,0.0,0.1,0.0,1.0,0.9,0.3076923076923077,0.18181818181818182,1,1.0,41.07062590711938,32.385238729974716,38.2,28.568514137070554,1.0,0.6666666666666666,0.3333333333333333,0.0,0.8461538461538461,0.9090909090909091,12,2735.6,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan,0,0,0,0,0.0,0.0,1.0,1.0,0.23076923076923078,0.0,0,nan
